class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season
[e];8.46;x;d;n;f;e;c;w;13.3;14.47;;;w;;;f;f;;d;a
[e];9.35;c;y;g;f;e;c;w;19.98;16.88;;;w;;;f;f;;g;s
[e];8.83;x;y;n;f;e;c;w;21.41;19.3;;;w;;;f;f;;d;a
[e];4.98;x;y;g;f;e;c;w;9.0;12.43;;;w;;;f;f;;g;u
[e];7.49;c;y;n;f;e;c;w;15.87;14.61;;;w;;;f;f;;d;a
[e];6.16;x;d;g;f;e;c;w;11.9;12.63;;;w;;;f;f;;d;a
[e];8.0;c;d;n;f;e;c;w;16.66;14.06;;;w;;;f;f;;d;s
[e];6.72;x;y;g;f;e;c;w;17.45;19.33;;;w;;;f;f;;g;s
[e];6.91;x;d;n;f;e;c;w;14.55;14.97;;;w;;;f;f;;g;a
[e];6.92;c;y;g;f;e;c;w;15.9;15.2;;;w;;;f;f;;g;a
[e];8.64;c;g;g;f;e;c;w;19.39;16.45;;;w;;;f;f;;d;u
[e];8.32;x;y;n;f;e;c;w;16.48;16.28;;;w;;;f;f;;g;u
[e];7.51;c;d;g;f;e;c;w;12.88;15.2;;;w;;;f;f;;g;u
[e];10.06;c;g;g;f;e;c;w;19.58;18.71;;;w;;;f;f;;d;u
[e];6.81;f;g;g;f;e;c;w;10.63;12.78;;;w;;;f;f;;g;a
[e];7.67;c;g;g;f;e;c;w;14.98;14.75;;;w;;;f;f;;g;u
[e];6.98;f;y;g;f;e;c;w;14.61;13.73;;;w;;;f;f;;d;u
[e];6.19;c;d;g;f;e;c;w;12.29;12.91;;;w;;;f;f;;d;a
[e];5.42;c;d;g;f;e;c;w;17.63;16.8;;;w;;;f;f;;g;s
[e];7.45;f;d;g;f;e;c;w;16.87;14.62;;;w;;;f;f;;g;s
[e];7.15;f;y;g;f;e;c;w;14.02;13.71;;;w;;;f;f;;d;a
[e];7.4;x;g;n;f;e;c;w;13.36;13.93;;;w;;;f;f;;g;a
[e];6.48;c;d;n;f;e;c;w;16.33;15.05;;;w;;;f;f;;g;a
[e];6.64;c;y;g;f;e;c;w;15.15;13.04;;;w;;;f;f;;d;u
[e];7.78;c;g;g;f;e;c;w;16.83;16.2;;;w;;;f;f;;d;u
[e];7.02;c;y;n;f;e;c;w;15.06;14.75;;;w;;;f;f;;d;s
[e];7.36;x;y;n;f;e;c;w;12.8;15.17;;;w;;;f;f;;g;s
[e];7.18;c;y;n;f;e;c;w;12.32;16.64;;;w;;;f;f;;d;s
[e];7.24;f;d;n;f;e;c;w;10.82;12.78;;;w;;;f;f;;d;s
[e];7.04;x;y;g;f;e;c;w;14.43;14.48;;;w;;;f;f;;g;u
[e];8.26;f;d;n;f;e;c;w;17.7;16.92;;;w;;;f;f;;g;u
[e];8.13;x;d;g;f;e;c;w;17.72;16.29;;;w;;;f;f;;d;a
[e];8.58;x;g;n;f;e;c;w;21.79;17.24;;;w;;;f;f;;d;s
[e];6.66;f;d;n;f;e;c;w;13.2;14.39;;;w;;;f;f;;d;s
[e];6.99;f;g;n;f;e;c;w;14.2;16.94;;;w;;;f;f;;d;s
[e];7.17;x;y;g;f;e;c;w;14.92;16.55;;;w;;;f;f;;d;s
[e];6.4;c;d;n;f;e;c;w;14.69;14.3;;;w;;;f;f;;g;u
[e];8.22;f;g;n;f;e;c;w;16.5;15.58;;;w;;;f;f;;d;s
[e];7.5;x;g;g;f;e;c;w;13.62;13.83;;;w;;;f;f;;d;u
[e];7.3;c;d;n;f;e;c;w;17.44;18.85;;;w;;;f;f;;g;u
[e];8.43;x;d;g;f;e;c;w;16.53;14.46;;;w;;;f;f;;d;s
[e];7.09;f;y;g;f;e;c;w;13.35;13.9;;;w;;;f;f;;d;a
[e];6.14;x;y;g;f;e;c;w;10.47;11.27;;;w;;;f;f;;d;u
[e];8.32;x;y;g;f;e;c;w;15.0;16.39;;;w;;;f;f;;d;s
[e];8.28;f;d;g;f;e;c;w;18.95;18.77;;;w;;;f;f;;d;a
[e];7.93;x;y;g;f;e;c;w;15.69;14.25;;;w;;;f;f;;d;a
[e];7.66;x;d;n;f;e;c;w;12.79;14.33;;;w;;;f;f;;d;s
[e];6.2;c;d;g;f;e;c;w;12.34;14.72;;;w;;;f;f;;g;u
[e];9.18;c;g;n;f;e;c;w;16.0;17.36;;;w;;;f;f;;g;u
[e];9.68;x;g;n;f;e;c;w;19.58;16.99;;;w;;;f;f;;g;u
[e];6.76;x;y;g;f;e;c;w;15.01;14.43;;;w;;;f;f;;g;u
[e];6.95;c;y;n;f;e;c;w;16.09;16.42;;;w;;;f;f;;d;u
[e];7.84;f;g;g;f;e;c;w;16.52;15.99;;;w;;;f;f;;g;a
[e];5.76;c;g;g;f;e;c;w;8.21;10.89;;;w;;;f;f;;d;s
[e];8.39;c;y;n;f;e;c;w;14.61;14.1;;;w;;;f;f;;g;s
[e];9.33;c;g;n;f;e;c;w;18.39;15.14;;;w;;;f;f;;g;s
[e];9.63;x;d;g;f;e;c;w;18.1;15.79;;;w;;;f;f;;g;u
[e];6.94;x;y;n;f;e;c;w;16.12;16.44;;;w;;;f;f;;g;s
[e];8.15;c;d;g;f;e;c;w;18.94;16.23;;;w;;;f;f;;d;s
[e];7.88;c;g;g;f;e;c;w;16.28;17.14;;;w;;;f;f;;d;u
[e];5.93;c;d;g;f;e;c;w;11.94;14.41;;;w;;;f;f;;d;u
[e];6.97;f;d;g;f;e;c;w;15.8;17.35;;;w;;;f;f;;g;u
[e];8.56;c;d;n;f;e;c;w;19.73;17.14;;;w;;;f;f;;g;u
[e];5.21;c;y;g;f;e;c;w;13.84;14.71;;;w;;;f;f;;g;a
[e];6.43;x;y;g;f;e;c;w;13.32;12.8;;;w;;;f;f;;g;u
[e];6.62;c;d;n;f;e;c;w;13.58;14.42;;;w;;;f;f;;d;s
[e];7.73;x;d;n;f;e;c;w;14.68;14.23;;;w;;;f;f;;d;s
[e];6.81;x;d;g;f;e;c;w;13.9;11.88;;;w;;;f;f;;d;u
[e];6.57;x;g;n;f;e;c;w;13.89;12.56;;;w;;;f;f;;d;a
[e];7.24;x;d;g;f;e;c;w;12.29;13.92;;;w;;;f;f;;d;a
[e];7.78;f;d;n;f;e;c;w;18.48;17.75;;;w;;;f;f;;g;s
[e];7.33;x;d;n;f;e;c;w;15.85;14.36;;;w;;;f;f;;g;s
[e];7.55;c;d;n;f;e;c;w;13.61;15.7;;;w;;;f;f;;d;u
[e];6.54;f;y;g;f;e;c;w;14.12;16.04;;;w;;;f;f;;g;a
[e];7.69;f;y;g;f;e;c;w;16.45;15.21;;;w;;;f;f;;g;s
[e];7.12;f;y;g;f;e;c;w;17.48;16.18;;;w;;;f;f;;d;u
[e];8.0;c;g;n;f;e;c;w;13.92;13.86;;;w;;;f;f;;g;s
[e];6.81;f;y;g;f;e;c;w;16.21;16.31;;;w;;;f;f;;d;a
[e];7.5;c;y;g;f;e;c;w;14.23;14.17;;;w;;;f;f;;d;s
[e];6.86;c;y;n;f;e;c;w;12.55;14.42;;;w;;;f;f;;d;a
[e];7.41;x;d;n;f;e;c;w;10.89;13.29;;;w;;;f;f;;g;a
[e];7.71;f;g;g;f;e;c;w;15.28;14.27;;;w;;;f;f;;d;a
[e];5.61;c;d;g;f;e;c;w;14.88;14.63;;;w;;;f;f;;d;s
[e];6.79;c;d;g;f;e;c;w;14.18;15.01;;;w;;;f;f;;g;a
[e];6.36;c;g;n;f;e;c;w;13.51;14.52;;;w;;;f;f;;g;s
[e];6.86;c;y;n;f;e;c;w;14.67;13.92;;;w;;;f;f;;g;a
[e];9.1;x;g;n;f;e;c;w;17.45;16.86;;;w;;;f;f;;g;a
[e];8.63;f;d;n;f;e;c;w;13.32;14.71;;;w;;;f;f;;g;u
[e];7.4;f;d;n;f;e;c;w;16.52;15.31;;;w;;;f;f;;d;a
[e];8.68;x;g;n;f;e;c;w;14.03;16.7;;;w;;;f;f;;d;s
[e];8.43;f;d;g;f;e;c;w;18.28;16.43;;;w;;;f;f;;d;a
[e];7.02;x;d;n;f;e;c;w;14.92;16.55;;;w;;;f;f;;d;s
[e];7.8;c;d;g;f;e;c;w;18.57;15.92;;;w;;;f;f;;d;s
[e];7.78;f;y;g;f;e;c;w;15.98;18.94;;;w;;;f;f;;g;s
[e];7.56;f;d;n;f;e;c;w;14.27;16.61;;;w;;;f;f;;d;a
[e];7.0;c;y;g;f;e;c;w;14.17;14.49;;;w;;;f;f;;g;s
[e];7.34;x;y;g;f;e;c;w;16.91;17.65;;;w;;;f;f;;g;s
[e];7.86;c;g;n;f;e;c;w;13.29;13.76;;;w;;;f;f;;d;u
[e];7.08;c;y;n;f;e;c;w;16.65;15.61;;;w;;;f;f;;d;u
[e];7.74;c;g;g;f;e;c;w;16.61;16.83;;;w;;;f;f;;g;a
[e];6.81;f;d;n;f;e;c;w;12.66;15.08;;;w;;;f;f;;g;u
[e];7.59;f;g;g;f;e;c;w;15.91;14.45;;;w;;;f;f;;g;a
[e];8.08;x;y;g;f;e;c;w;16.48;14.92;;;w;;;f;f;;d;s
[e];7.01;x;d;g;f;e;c;w;10.12;12.76;;;w;;;f;f;;d;u
[e];7.86;c;d;g;f;e;c;w;14.87;14.26;;;w;;;f;f;;g;u
[e];7.01;x;y;g;f;e;c;w;13.33;13.89;;;w;;;f;f;;g;s
[e];7.44;f;g;n;f;e;c;w;17.51;15.61;;;w;;;f;f;;g;s
[e];7.47;x;d;n;f;e;c;w;12.96;14.47;;;w;;;f;f;;d;s
[e];6.31;f;y;g;f;e;c;w;10.78;12.35;;;w;;;f;f;;g;a
[e];7.98;x;g;g;f;e;c;w;14.58;16.13;;;w;;;f;f;;d;s
[e];7.62;c;y;g;f;e;c;w;15.7;16.15;;;w;;;f;f;;d;s
[e];7.46;x;g;g;f;e;c;w;14.35;14.77;;;w;;;f;f;;d;s
[e];7.84;x;d;g;f;e;c;w;15.14;15.44;;;w;;;f;f;;d;s
[e];8.48;x;g;n;f;e;c;w;14.62;14.55;;;w;;;f;f;;d;u
[e];7.15;c;d;n;f;e;c;w;15.97;13.94;;;w;;;f;f;;d;a
[e];7.69;f;d;n;f;e;c;w;9.17;12.36;;;w;;;f;f;;g;a
[e];6.9;x;y;n;f;e;c;w;12.72;13.97;;;w;;;f;f;;g;u
[e];7.37;f;g;n;f;e;c;w;14.62;16.3;;;w;;;f;f;;d;s
[e];7.59;f;y;g;f;e;c;w;12.26;14.94;;;w;;;f;f;;g;a
[e];8.76;c;d;n;f;e;c;w;14.8;13.43;;;w;;;f;f;;d;u
[e];9.07;c;g;g;f;e;c;w;18.38;19.53;;;w;;;f;f;;g;a
[e];6.82;x;g;g;f;e;c;w;15.59;16.26;;;w;;;f;f;;d;s
[e];8.21;f;y;n;f;e;c;w;17.24;17.53;;;w;;;f;f;;g;u
[e];7.2;c;y;n;f;e;c;w;17.67;15.86;;;w;;;f;f;;d;u
[e];7.23;x;g;n;f;e;c;w;17.18;15.6;;;w;;;f;f;;d;a
[e];6.74;c;y;n;f;e;c;w;13.8;13.96;;;w;;;f;f;;g;u
[e];6.7;x;y;n;f;e;c;w;11.43;11.73;;;w;;;f;f;;g;s
[e];7.54;c;g;g;f;e;c;w;13.51;14.38;;;w;;;f;f;;d;u
[e];7.28;f;g;g;f;e;c;w;15.7;16.53;;;w;;;f;f;;g;s
[e];6.21;x;y;n;f;e;c;w;13.24;14.39;;;w;;;f;f;;d;u
[e];7.67;x;y;n;f;e;c;w;16.68;16.73;;;w;;;f;f;;d;a
[e];9.23;f;y;n;f;e;c;w;18.44;18.63;;;w;;;f;f;;g;u
[e];8.79;f;y;n;f;e;c;w;18.44;16.25;;;w;;;f;f;;d;a
[e];7.4;f;g;g;f;e;c;w;15.44;14.29;;;w;;;f;f;;d;a
[e];7.63;c;d;g;f;e;c;w;15.22;14.17;;;w;;;f;f;;d;u
[e];7.9;c;d;n;f;e;c;w;13.97;13.96;;;w;;;f;f;;g;a
[e];7.28;f;d;n;f;e;c;w;13.83;14.81;;;w;;;f;f;;g;u
[e];7.16;c;g;g;f;e;c;w;11.56;11.77;;;w;;;f;f;;d;u
[e];7.23;f;y;g;f;e;c;w;16.66;16.12;;;w;;;f;f;;d;u
[e];9.25;f;y;g;f;e;c;w;16.9;18.42;;;w;;;f;f;;d;a
[e];7.43;f;g;n;f;e;c;w;17.51;16.62;;;w;;;f;f;;d;s
[e];6.93;c;g;n;f;e;c;w;17.67;15.21;;;w;;;f;f;;d;a
[e];6.97;c;d;g;f;e;c;w;16.44;15.48;;;w;;;f;f;;g;a
[e];6.99;f;g;g;f;e;c;w;19.53;16.84;;;w;;;f;f;;d;s
[e];7.26;x;y;n;f;e;c;w;12.0;13.38;;;w;;;f;f;;g;u
[e];7.61;f;g;g;f;e;c;w;14.73;13.39;;;w;;;f;f;;g;u
[e];7.74;x;y;n;f;e;c;w;15.24;16.05;;;w;;;f;f;;d;u
[e];6.84;f;d;g;f;e;c;w;14.57;15.72;;;w;;;f;f;;d;a
[e];7.71;x;d;n;f;e;c;w;14.29;15.32;;;w;;;f;f;;d;a
[e];8.18;x;d;g;f;e;c;w;16.4;15.27;;;w;;;f;f;;g;u
[e];6.59;c;y;n;f;e;c;w;11.42;13.15;;;w;;;f;f;;d;a
[e];8.72;x;y;n;f;e;c;w;14.46;13.58;;;w;;;f;f;;d;a
[e];7.49;c;d;g;f;e;c;w;15.92;16.06;;;w;;;f;f;;g;a
[e];6.89;c;d;n;f;e;c;w;15.19;15.21;;;w;;;f;f;;d;s
[e];8.54;x;g;n;f;e;c;w;16.39;16.43;;;w;;;f;f;;g;s
[e];8.25;f;d;g;f;e;c;w;14.14;14.03;;;w;;;f;f;;g;u
[e];6.72;x;d;g;f;e;c;w;15.13;14.51;;;w;;;f;f;;g;u
[e];7.69;x;d;g;f;e;c;w;16.44;17.62;;;w;;;f;f;;g;a
[e];7.01;c;d;g;f;e;c;w;11.94;12.06;;;w;;;f;f;;g;u
[e];7.99;f;y;n;f;e;c;w;15.69;15.67;;;w;;;f;f;;d;s
[e];7.57;c;d;n;f;e;c;w;15.31;15.38;;;w;;;f;f;;g;s
[e];6.64;c;g;n;f;e;c;w;12.45;13.55;;;w;;;f;f;;d;s
[e];7.78;f;y;n;f;e;c;w;17.47;14.5;;;w;;;f;f;;g;a
[e];7.86;x;d;n;f;e;c;w;18.08;16.8;;;w;;;f;f;;d;a
[e];7.48;f;y;n;f;e;c;w;13.8;14.45;;;w;;;f;f;;d;s
[e];8.04;c;y;g;f;e;c;w;15.6;14.65;;;w;;;f;f;;g;u
[e];8.29;c;d;n;f;e;c;w;15.83;16.59;;;w;;;f;f;;g;a
[e];8.74;c;y;g;f;e;c;w;19.84;16.7;;;w;;;f;f;;d;u
[e];7.06;x;g;n;f;e;c;w;16.19;15.59;;;w;;;f;f;;d;u
[e];6.01;x;g;n;f;e;c;w;14.91;10.84;;;w;;;f;f;;g;s
[e];8.07;c;d;g;f;e;c;w;19.54;15.0;;;w;;;f;f;;g;s
[e];7.54;x;y;g;f;e;c;w;18.86;15.92;;;w;;;f;f;;g;a
[e];8.15;c;y;g;f;e;c;w;11.83;15.22;;;w;;;f;f;;g;u
[e];7.65;c;y;g;f;e;c;w;11.26;12.64;;;w;;;f;f;;d;u
[e];7.75;f;d;g;f;e;c;w;12.95;14.95;;;w;;;f;f;;d;a
[e];8.24;x;d;n;f;e;c;w;15.67;17.16;;;w;;;f;f;;d;s
[e];7.36;x;g;g;f;e;c;w;16.5;14.54;;;w;;;f;f;;d;a
[e];7.0;f;g;n;f;e;c;w;14.82;13.94;;;w;;;f;f;;g;a
[e];7.22;x;g;n;f;e;c;w;9.66;14.1;;;w;;;f;f;;g;a
[e];7.25;x;y;n;f;e;c;w;11.44;12.72;;;w;;;f;f;;g;s
[e];6.95;c;d;n;f;e;c;w;14.85;15.01;;;w;;;f;f;;g;u
[e];6.37;x;g;g;f;e;c;w;16.16;16.41;;;w;;;f;f;;d;s
[e];8.3;x;g;n;f;e;c;w;17.68;16.93;;;w;;;f;f;;g;s
[e];6.75;f;y;g;f;e;c;w;11.58;14.47;;;w;;;f;f;;g;u
[e];7.43;x;g;g;f;e;c;w;12.28;12.59;;;w;;;f;f;;d;a
[e];8.29;x;d;g;f;e;c;w;18.5;17.21;;;w;;;f;f;;d;a
[e];8.62;c;g;g;f;e;c;w;16.42;16.51;;;w;;;f;f;;g;u
[e];5.37;f;y;g;f;e;c;w;14.96;15.81;;;w;;;f;f;;d;a
[e];8.41;c;d;n;f;e;c;w;16.16;14.7;;;w;;;f;f;;g;u
[e];9.37;c;g;g;f;e;c;w;17.02;17.1;;;w;;;f;f;;g;u
[e];7.51;x;g;g;f;e;c;w;15.53;16.19;;;w;;;f;f;;d;s
[e];8.24;x;d;g;f;e;c;w;17.54;17.2;;;w;;;f;f;;d;s
[e];6.83;c;d;n;f;e;c;w;11.64;13.58;;;w;;;f;f;;d;a
[e];6.82;c;g;n;f;e;c;w;15.26;12.57;;;w;;;f;f;;d;s
[e];8.71;x;d;n;f;e;c;w;16.51;17.69;;;w;;;f;f;;d;u
[e];5.77;f;y;n;f;e;c;w;11.44;13.59;;;w;;;f;f;;d;s
[e];7.32;c;d;n;f;e;c;w;17.18;16.17;;;w;;;f;f;;d;u
[e];7.92;x;y;g;f;e;c;w;13.76;14.79;;;w;;;f;f;;g;a
[e];8.35;c;y;g;f;e;c;w;13.75;13.71;;;w;;;f;f;;d;u
[e];8.11;f;y;g;f;e;c;w;17.94;16.32;;;w;;;f;f;;g;u
[e];7.44;x;d;g;f;e;c;w;14.26;14.91;;;w;;;f;f;;d;a
[e];7.87;f;y;g;f;e;c;w;14.28;14.26;;;w;;;f;f;;d;s
[e];6.98;f;y;g;f;e;c;w;15.85;14.82;;;w;;;f;f;;d;s
[e];5.37;f;g;g;f;e;c;w;11.71;13.77;;;w;;;f;f;;d;u
[e];8.22;f;y;g;f;e;c;w;15.98;16.47;;;w;;;f;f;;d;u
[e];7.15;x;y;g;f;e;c;w;17.79;17.52;;;w;;;f;f;;d;a
[e];6.0;c;g;g;f;e;c;w;11.17;12.56;;;w;;;f;f;;g;u
[e];5.99;f;g;g;f;e;c;w;13.94;14.63;;;w;;;f;f;;d;s
[e];7.47;x;d;n;f;e;c;w;16.15;13.88;;;w;;;f;f;;d;u
[e];6.1;x;y;n;f;e;c;w;15.84;16.09;;;w;;;f;f;;g;a
[e];7.01;x;d;g;f;e;c;w;9.81;12.44;;;w;;;f;f;;d;s
[e];8.12;c;g;n;f;e;c;w;16.9;16.31;;;w;;;f;f;;d;u
[e];6.22;c;g;n;f;e;c;w;15.25;14.99;;;w;;;f;f;;g;a
[e];6.69;x;d;g;f;e;c;w;13.64;12.08;;;w;;;f;f;;d;u
[e];8.27;f;g;g;f;e;c;w;14.14;12.77;;;w;;;f;f;;g;a
[e];7.73;x;y;n;f;e;c;w;13.26;15.96;;;w;;;f;f;;d;a
[e];7.06;c;y;n;f;e;c;w;16.13;15.78;;;w;;;f;f;;d;u
[e];8.68;f;g;n;f;e;c;w;16.34;17.26;;;w;;;f;f;;g;a
[e];8.0;x;d;g;f;e;c;w;16.81;17.37;;;w;;;f;f;;g;u
[e];5.95;x;y;n;f;e;c;w;13.04;13.09;;;w;;;f;f;;g;s
[e];7.82;x;g;n;f;e;c;w;13.07;14.04;;;w;;;f;f;;g;s
[e];8.31;x;g;g;f;e;c;w;12.74;13.49;;;w;;;f;f;;d;s
[e];7.19;c;g;g;f;e;c;w;14.64;15.83;;;w;;;f;f;;d;a
[e];7.57;x;d;g;f;e;c;w;13.88;13.1;;;w;;;f;f;;g;u
