class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
[e],8.19,x,g,g,f,e,c,w,17.78,17.04,e,k,w,u,w,f,f,w,g,s
[e],4.99,x,s,n,f,a,c,u,7.59,7.44,e,s,w,p,w,t,e,u,d,a
[p],7.25,x,t,n,t,s,c,b,5.3,14.2,e,s,n,p,f,f,f,b,d,a
[e],10.53,x,t,o,f,e,c,o,10.47,11.32,b,s,y,u,w,t,r,w,d,a
[p],11.25,x,s,n,t,d,c,n,5.45,19.39,e,t,b,p,f,f,f,y,d,u
[p],10.36,x,t,w,f,e,c,w,12.71,14.94,b,y,w,u,w,t,l,w,d,a
[p],9.65,f,t,n,f,a,c,n,8.93,22.38,s,y,w,p,f,f,f,n,g,u
[e],8.7,x,s,y,f,f,f,f,17.26,15.41,e,g,e,p,f,f,f,n,d,a
[e],2.37,x,s,e,t,f,f,f,3.82,7.32,e,s,y,p,f,f,f,n,g,u
[e],7.16,x,s,k,t,f,f,f,2.74,11.54,e,y,u,p,f,f,f,n,d,a
[p],13.8,s,t,g,t,d,c,n,7.13,18.84,e,t,y,p,f,f,f,y,d,a
[e],6.87,x,t,n,f,f,f,f,7.28,12.7,e,y,y,p,f,f,f,n,d,u
[e],5.86,f,y,w,f,e,c,g,8.23,5.7,e,i,w,p,w,t,s,k,d,a
[p],3.44,x,g,o,f,a,d,p,10.53,3.46,e,y,o,p,f,f,f,w,d,a
[p],10.77,x,t,n,t,d,c,n,6.73,20.36,e,s,b,p,f,f,f,y,d,a
[p],7.31,x,s,b,f,e,c,w,7.04,11.73,b,s,w,u,w,t,e,w,d,u
[e],8.78,x,t,o,t,a,c,o,7.69,18.45,e,t,o,p,f,f,f,y,d,u
[p],8.46,f,s,p,f,a,d,w,5.34,16.35,e,s,p,p,f,f,f,b,d,u
[e],11.37,c,t,e,f,e,c,o,12.91,13.7,b,s,y,u,w,t,r,w,d,a
[p],8.96,x,t,e,f,d,c,w,6.24,22.03,e,s,e,p,f,f,f,o,d,a
[p],0.74,c,s,o,f,d,d,w,3.07,1.16,e,s,o,p,f,f,f,w,d,s
[p],5.16,x,y,n,t,f,f,f,6.75,13.71,e,y,e,p,f,f,f,n,d,a
[p],12.53,s,t,n,t,d,c,w,7.71,23.27,e,s,y,p,f,f,f,y,d,a
[e],1.82,s,s,o,f,f,f,f,3.15,5.19,e,s,o,p,f,f,f,y,d,u
[e],5.43,s,t,o,t,d,c,o,5.68,14.23,e,t,o,p,f,f,f,w,d,u
