family;name;class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season
Amanitaceae;Amanita vaginata;[e];[5, 10];[c, x, f];[g, y, d];[g,  n];[f];[e];[c];[w];[8, 22];[10, 20];;;[w];;;[f];[f];;[d, g];[s, u, a]
Amanitaceae;Saproamanita thiersii;[p];[3.5, 10];[x];[y, s, d];[w];[t];[e];[c, d];[w, y];[8, 20];[10, 20];;;[w];;;[t];[p, g];;[g, m];[u, a]
Amanitaceae;Amanita russuloides;[p];[3, 9];[x];[t, g, y, d];[y, b];[f];[e];[c];[w];[4, 9];[5, 15];;;[w];;;[t];[e];;[d, g];[u, a]
Amanitaceae;Amanita flavorubescens;[p];[4.5, 14];[x, f];[y, t];[y];[t];[e];[c];[w];[6, 15];[5, 15];;;[y];;;[t];[g, r];;[d, u, p];[s, u, a]
Amanitaceae;Amanita flavoconia;[p];[3, 9];[x, f];[y, t, s];[o];[f];[e];[c];[w, y];[5.5, 11.5];[7, 14];;;[y];;;[t];[g, r];;[d];[u, a]
Amanitaceae;Amanita multisquamosa;[p];[3.5, 10];[x, f];[y, t];[w, b];[f];[e];[c];[w];[8, 13];[5, 15];;;[w];;;[t];[r];;[d];[u,a]
Amanitaceae;Amanita jacksonii;[e];[8, 12];[c, x];[t];[o, e];[f];[e];[c];[y, o];[9, 14];[9, 16];;;[y];;;[t];[r];;[d];[u, a]
Amanitaceae;Amanita farinosa;[p];[2.5, 6.5];[x, f];[y, d];[w, g];[f];[e];[c];[w];[3, 9];[3, 10];;;[w, g];;;[f];[f];;[d, u, p];[s, u, a]
Amanitaceae;Amanita cokeri;[p];[7, 15];[x];[y, t, d];[w];[f];[e];[c];[w];[10, 20];[10, 20];;;[w];;;[t];[l, g];;[d];[u, a]
Amanitaceae;Amanita abrupta;[p];[4, 10];[x, f];[y, s];[w];[f];[e];[c];[w];[6.5, 12.5];[5, 15];;;[w];;;[t];[r];;[d];[a]
